Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
complete,# 16007 : Frontal Airbag And Seat Belt Pretensioner Non Deploys,16V651,2016-09-08,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2014-2017 model year Chevrolet Silverado LD, GMC Sierra LD, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, and Chevrolet Corvette vehicles, 2014-2016 model year Buick Lacrosse, Chevrolet Spark EV, and Chevrolet SS vehicles and 2015-2017 model year Chevrolet Silverado HD, GMC Sierra HD, GMC Yukon, GMC Yukon XL, Cadillac Escalade Cadillac Escalade ESV, Chevrolet Suburban, and Chevrolet Tahoe vehicles.  The sensing and diagnostic module (SDM) in these vehicles, which controls airbag and pretensioner deployment, contains a software defect which may prevent the deployment of frontal airbags and pretensioners in certain rare circumstances. If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","If the frontal airbags and seatbelt pretensioners do not deploy when required, there is an increased risk of injury to occupants in a crash.","Reprogram the SDM with new software that eliminates this defect.  In vehicles with any previous deployment events recorded in the SDM, dealers will replace the existing SDM with a new SDM prior to programming and setup.  Note: Before replacing the SDM, any airbag related Diagnostic Trouble Codes should be identified, diagnosed, and corrected prior to SDM replacement.  Faulty SIR components in need of replacement are unrelated to this safety recall and are not covered under the terms of this safety recall.",https://www.chevrolet.com/ownercenter/api/1GNSKFEC1GR230457/gfas?cb=16777551996700.4782935067564471
complete,# 14350 : UNINTENDED IGNITION KEY ROTATION,14V400,2014-08-30,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ND52J416206443/gfas?cb=16777551996700.4782935067564471
complete,# 03043 : TURN SIGNALS/HAZARD WARNING FLASHERS INOPERATIVE,03V327,2004-02-05,"Certain passenger vehicles have hazard warning switches that may experience solder joint cracking caused by rapid temperature transitions and the soldering process.  If solder joint cracking occurs and results in an open circuit, the turn signals/hazard lamps become intermittent or inoperative.","When the turn signals are inoperative, the driver cannot use them to signal intent to turn that could result in a crash.",Dealers will replace the hazard warning switch free of charge.,https://www.chevrolet.com/ownercenter/api/1G1ND52J416206443/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 10240,,2002-07-10,,,,https://www.chevrolet.com/ownercenter/api/1GNEK13TX6J104596/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 11273,,2000-05-09,"Some 2008-2009 Chevrolet TrailBlazer; GMC Envoy; HUMMER H2; Saab 9-7x; 2008-2011 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; GMC Savana, Sierra, Yukon, Yukon XL; 2008-2010 HUMMER H3; 2009-2011 Chevrolet Colorado; GMC Canyon; and 2009-2010 HUMMER H3T vehicles, equipped with a V8 engine, may have a condition where the throttle position sensor may cause the engine to run rough and cause the malfunction indicator lamp and/or an Engine Reduced Power message to illuminate. If this occurs, it could result in reduced engine power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1GNFK33069R207042/gfas?cb=16777551996700.4782935067564471
complete,Front Passenger Airbag Takata Inflator - Priority Group 9,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFK33069R207042/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator – Priority Group 6,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFC13017R336238/gfas?cb=16777551996700.4782935067564471
complete,# 10153 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,10V240,2010-06-08,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS).  A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short.  However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed.  These incidents resulted from a new failure mode attributed to the device's thermal protection feature.  The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge.  An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,https://www.chevrolet.com/ownercenter/api/1GNFC13017R336238/gfas?cb=16777551996700.4782935067564471
complete,# 08048 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,,2008-08-28,,,,https://www.chevrolet.com/ownercenter/api/1GNFC13017R336238/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 11135,,2005-05-25,,,,https://www.chevrolet.com/ownercenter/api/2CNDL63F566112946/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14319,,2001-01-01,"Certain 2005-2006 model year (MY) Chevrolet Equinox, 2006 MY Pontiac Torrent and 2002-2007 MY Saturn VUE vehicles may have a condition in which the ignition key may be removed when the ignition is not in the “Off” position. If the ignition key is removed when the ignition is not in the “Off” position, unintended motion may occur: (a) for an automatic transmission, if the transmission is not in “Park”; or (b) for a manual transmission, if the parking brake is not engaged and the transmission is not in reverse gear. This could result in a vehicle crash and occupant or pedestrian injuries.

This special coverage covers the condition described above for the life of the vehicle. This means regardless of when the vehicle was originally placed in service or its current mileage or ownership, the repairs described in this bulletin will be paid for by GM.",,,https://www.chevrolet.com/ownercenter/api/2CNDL63F566112946/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2GNALDEKXD6324770/gfas?cb=16777551996700.4782935067564471
complete,Tailpipe Emissions – Oxygen Sensor,,2020-10-01,"General Motors has decided to conduct a voluntary emissions recall involving certain 2012-2013 Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine and certified to the EPA Bin 4 emission standard and the California Cleaner Federal Vehicle option of Bin 4 emission standard. The vehicle’s post-catalyst oxygen sensor may provide inaccurate information to the engine control module, which manages engine combustion air-fuel ratios. If this condition occurs, tail pipe emissions may exceed allowed limits, without providing any notification to the driver. The malfunction indicator lamp (check engine light) will not illuminate.","If this condition occurs, tail pipe emissions may exceed allowed limits, without providing any notification to the driver.",Dealers are to replace the post-catalyst oxygen sensor.,https://www.chevrolet.com/ownercenter/api/2GNALDEKXD6324770/gfas?cb=16777551996700.4782935067564471
complete,# 25302 : Front Wiper Transmission Corrosion Failure,16V582,2016-08-16,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2013 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.  If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.","Dealers will inspect the front wiper-module.  If the module has not been previously replaced with part number 84241847, then the dealers will replace it with the new module (i.e., 84241847) that has a water deflector and improved ball joints.  In addition, dealers will fill the water-management hole near the passenger-side wiper-pivot and drill a small hole on the adjacent wall of the air inlet panel (AIP).  If the module was previously replaced with part 84241847, then the only repair dealers need to complete is the AIP-hole repair—drilling a small hole on the adjacent wall of the AIP. This service will be performed for you at no charge.",https://www.chevrolet.com/ownercenter/api/2GNALDEKXD6324770/gfas?cb=16777551996700.4782935067564471
incomplete,Excessive Engine Oil Consumption,,2020-01-16,"Some 2013 model year Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine (RPO LEA) may exhibit excessive engine oil consumption (less than 2,000 miles [3,200 km] per quart [0.946 L] of engine oil), due to piston ring wear. If this condition is present, an audible rattle or knock from the engine may be heard. The engine oil pressure telltale may illuminate on the instrument panel or the following message may appear in the Driver Information Center: ""Oil Pressure Low – Stop Engine"".",,"Dealers are to perform an oil consumption test and install new pistons and piston rings if excessive consumption is found. In addition, dealers are to repair or replace any engine components that require repair or replacement if the need for such repair or replacement was solely caused by excessive oil consumption due to piston ring wear. The repairs will be made at no charge to the Customer.",https://www.chevrolet.com/ownercenter/api/2GNALDEKXD6324770/gfas?cb=16777551996700.4782935067564471
incomplete,Catalytic Converter and Oxygen Sensor Performance Degradation,,2020-10-01,"Some 2012-2013 model year Chevrolet Equinox or GMC Terrain vehicles, equipped with a 2.4L engine may exhibit catalytic converter degraded catalytic converter and/or oxygen sensors caused by excessive engine oil consumption.

The excessive oil consumption issue that causes this emissions parts condition is defined as an engine consuming a quart of oil or more in less than 2,000 miles [3,200 km] of driving. Signs a vehicle may have excessive oil consumption include that it needs frequent oil refilling, or that the engine creates an audible rattle or knocking sound, or that the engine oil pressure warning light illuminates on the instrument panel, or that the following message appears in the Driver Information Center: “Oil Pressure Low – Stop Engine.”

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (241,400 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,"Determine if the vehicle has, or has been repaired for, an excessive engine oil consumption condition due to piston ring wear by  1.Performing an excessive engine oil consumption test, or  2.Examining IVH or other service records to determine if a repair has been performed to remedy excessive oil consumption due to piston ring wear. If the vehicle has, or has been repaired for, an excessive engine oil consumption condition due to piston ring wear, replace the catalytic converters and oxygen sensors. See also Special Coverage bulletins 16118, N192291100 or N192291101 “Excessive Engine Oil Consumption” for repair of engine and other components.   Note: The special coverage terms for excessive engine oil consumption may be different than the special coverage terms for the catalytic converter and oxygen sensor degradation. The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/2GNALDEKXD6324770/gfas?cb=16777551996700.4782935067564471
complete,# 14696 : IGNITION LOCK CYLINDER BINDING,14V827,2015-02-04,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2011 – 2012 model year full-size trucks and SUVs.  Certain of these vehicles may have an ignition lock actuator with an outer diameter that exceeds specifications.  These ignition lock actuators may make turning the ignition key difficult and the ignition key could get stuck in the “start” position if the vehicle’s interior ambient temperature is sufficiently high.  If the vehicle is driven with the key stuck in the “start” position, and the vehicle’s interior temperature cools or the vehicle experiences a significant jarring event, the ignition lock cylinder could move out of the “start” position, rotate past the “run” position, and move into the “accessory” position.","If the key moves into the “accessory” position, engine power, power steering, and power braking will be affected, increasing the risk of a crash.  In the event of a crash, the timing of the key movement into the “accessory” position relative to the activation of the sensing algorithm of the crash event may result in the airbags not deploying, increasing the potential for occupant injury in certain types of crashes.","Dealers will inspect steering columns for identifying information (date code and/or production cavity number) and replace if necessary, the ignition lock housing, free of charge.",https://www.chevrolet.com/ownercenter/api/1GNSK4E01BR375355/gfas?cb=16777551996700.4782935067564471
complete,# 16145 : Engine Cooling Fan Fire,16V868,2016-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2010 – 2014 Chevrolet Tahoe vehicles with special equipment options for police or government service.  Under heavy police use conditions, the passenger-side under-hood cooling fan assembly in these vehicles may be susceptible to repeated fluid intrusion, which could lead to corrosion of wiring inside the fan motor over time.  Such corrosion can, under certain conditions, cause an electrical short circuit.","A short circuit caused by corrosion can create elevated temperatures within the fan motor, which can increase the risk of an engine-compartment fire while the vehicle is running.","Dealers will replace the affected fan motor and shroud, extend wiring and re-orient the fan motor to reduce the risk of corrosion.",https://www.chevrolet.com/ownercenter/api/1GNSK4E01BR375355/gfas?cb=16777551996700.4782935067564471
complete,Front Passenger Airbag Takata Inflator - Priority Group 10,21V054,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNSK4E01BR375355/gfas?cb=16777551996700.4782935067564471
complete,# 05037 : SECOND ROW CENTER SAFETY BELT,05V163,2005-07-14,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position.   Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group.  In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual.  Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",https://www.chevrolet.com/ownercenter/api/1GNEC13Z64J114797/gfas?cb=16777551996700.4782935067564471
complete,# 17346 : Owner’s Manual Incorrect Transmission Fluid Specified,,2017-09-13,"Certain 2014 model year Chevrolet Spark vehicles, may have incorrect transmission fluid specified in the owner’s manual.",,Print and insert revised owner manual page included in this bulletin.,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
complete,# 13434 : AIR CONDITIONING SYSTEM INOPERATIVE/COOLS INTERMITTENTLY - * EXP 4/30/16 *,,2014-04-09,,,,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
complete,# 20710 : 2014-15 CHEVY SPARK TRANS PULLEY/BELT DAMAGE,,2016-01-12,,,,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
