Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,VIN,Open Recalls
Incomplete,BRAKE BOOSTER VACUUM HOSE REPLACEMENT,08S05/08V208000,2008-05-07,"FORD IS RECALLING 605,684 MY 2005-2006 F-150 AND LINCOLN MARK LT VEHICLES EQUIPPED WITH 5.4L 3-VALVE ENGINES.  THE BRAKE BOOSTER VACUUM SUPPLY HOSE ATTACHED TO THE INTAKE MANIFOLD FITTING MAY SWELL OVER TIME AND LOSE RETENTION FORCE.  THIS CONDITION COULD ALLOW THE HOSE TO BECOME DETACHED FROM THE FITTING DURING AN INTAKE MANIFOLD BACKFIRE.  SHOULD THE HOSE DETACH FROM THE INTAKE MANIFOLD, SEVERAL BRAKE APPLICATIONS WITH POWER ASSIST WILL BE AVAILABLE BEFORE THE VACUUM RESERVE IS DEPLETED.","ONCE THE BRAKE BOOSTER VACUUM RESERVE IS DEPLETED, THE DRIVER WILL HAVE FOUNDATION BRAKE FUNCTION, BUT WITH INCREASED BRAKE PEDAL EFFORT.  REDUCED VEHICLE BRAKING COULD LEAD TO A CRASH.","DEALERS WILL REPLACE A RUBBER HOSE ON THE BRAKE BOOSTER VACUUM SUPPLY TUBE ASSEMBLY.  THE RECALL BEGAN ON JUNE 27, 2008.  OWNERS MAY CONTACT FORD AT 1-866-436-7332.",1FTPX14535FB30378,yes
,,,,,,,1FTFW1EF5BFA32177,No
,,,,,,,1FTEW1EB8KFB71874,No
Incomplete,SPEED CONTROL SYSTEM MODIFICATION,09S09/09V399000,2009-10-13,"FORD IS RECALLING MODEL YEARS 1995-2003 WINDSTAR, 2000-2003 EXCURSION DIESEL, 1993-1997 AND 1999-2003 F-250 SD THROUGH F-550 SD DIESEL, 1992-2003 E-150 THROUGH E-550, 1995-2002 EXPLORER, 1997 AND 2002 MERCURY MOUNTAINEER, 1995-1997 AND 2001-2003 RANGER, AND 1994 F53 VEHICLES EQUIPPED WITH THE TEXAS INSTRUMENTS SPEED CONTROL DEACTIVATION SWITCH (SCDS).  THE SCDS MAY LEAK INTERNALLY AND THEN OVERHEAT, SMOKE, OR BURN.",A VEHICLE FIRE COULD OCCUR WITH OR WITHOUT THE ENGINE RUNNING.,"FORD WILL NOTIFY OWNERS THAT DEALERS WILL INSTALL A FUSED WIRING HARNESS IN LINE WITH THE SCDS.  ON 1999-2003 WINDSTAR VEHICLES WITH A LEAKING SCDS, DEALERS WILL ALSO INSPECT THE ABS CONTROL MODULE CONNECTOR AND REPAIR AS NECESSARY.  REPAIRS WILL BE COMPLETED FREE OF CHARGE.  THE SAFETY RECALL BEGAN ON OCTOBER 27, 2009.  OWNERS MAY CONTACT FORD AT 1-888-222-2751.",1FTYR10D13PA53545,yes
,,,,,,,3FAFP31393R121622,No
,,,,,,,1FTRW07W31KB86185,No
,,,,,,,1FTEW1E45LFA79849,No
Incomplete,DRIVER AND PASSENGER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,17S42/17V788,2017-12-13,THE DRIVER AND PASSENGER AIRBAG INFLATORS IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE FRONTAL AIRBAGS.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE DRIVER AND PASSENGER AIRBAG INFLATORS FREE OF CHARGE.,1FTYR10D36PA44768,yes
,,,,,,,1FTYR10C2XUB22631,No
,,,,,,,1FM5K8D88JGA91408,No
,,,,,,,1FTFW1ET6EFC71960,No
Incomplete,DRIVER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,15S21/15V319,2015-05-27,THE DRIVER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE DRIVER AIRBAG.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE DRIVER AIRBAG INFLATOR FREE OF CHARGE..,1ZVFT80N555214985,yes
,,,,,,,1FMEU6DE1AUA24168,No
Incomplete,PASSENGER AIRBAG INFLATOR INSPECTION,23S08/23V125,2023-02-27,"IN SOME OF THE AFFECTED VEHICLES, THE REPLACEMENT FRONTAL PASSENGER AIRBAG INFLATOR MAY HAVE BEEN INSTALLED IN THE INCORRECT ORIENTATION UNDER FIELD SERVICE ACTION FSA 17S42 OR 18S02.","IF A PREVIOUSLY REMEDIED VEHICLE HAS A PASSENGER AIRBAG INFLATOR THAT WAS MIS-INSTALLED AND IS IN A CRASH EVENT NECESSITATING DEPLOYMENT OF THE PASSENGER AIRBAG, THE AIRBAG MAY NOT DEPLOY AS INTENDED, INCREASING THE RISK OF INJURY.",OWNERS OF RECORD WILL BE NOTIFIED VIA FIRST-CLASS MAIL AFTER REPAIR INSTRUCTIONS AND PARTS ORDERING INFORMATION HAVE BEEN PROVIDED TO DEALERS.,1FTYR44U16PA04863,yes
,,,,,,,1FMZU32E1XZA83428,No
,,,,,,,1FAHP3H21CL209942,No
Incomplete,SPEED CONTROL SYSTEM MODIFICATION,05S28/05V017000,2005-01-27,"ON CERTAIN SPORT UTILITY VEHICLES AND PICKUP TRUCKS, THE SPEED CONTROL DEACTIVATION SWITCH MAY OVERHEAT, SMOKE, OR BURN.",THIS CONDITION COULD LEAD TO A FIRE.  FIRES HAVE OCCURRED WHILE THE VEHICLES WERE PARKED WITH THE IGNITION 'OFF.',"AS AN INTERIM REPAIR, OWNERS WILL BE INSTRUCTED TO RETURN THEIR VEHICLES TO THEIR DEALERS TO HAVE THE SPEED CONTROL DEACTIVATION SWITCH DISCONNECTED.  AS SOON AS REPLACEMENT PARTS ARE AVAILABLE (EARLY APRIL 2005), OWNERS WILL BE INSTRUCTED TO RETURN TO THE DEALERS FOR INSTALLATION OF A NEW SWITCH FREE OF CHARGE.  OWNERS MAY CONTACT FORD AT 1-866-436-7332.  (NOTE:  ALSO SEE RECALLS 05V388 AND 06V286)",1FTRW07692KD69107,yes
,,,,,,,1FTPW12V79FA91578,No
,,,,,,,1FMCU03128KA92620,No
,,,,,,,1FTCR10U6VUA10964,No
,,,,,,,1FTEW1CBXJKE60778,No
,,,,,,,1FTEX1EM6EFC29662,No
,,,,,,,1fmeu73e79ua19625,No
,,,,,,,1FTFW1EF6EFC91488,No
Incomplete,DOOR LATCH REPEAT REPAIR,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU",1FADP3K23EL335620,yes
Incomplete,DOOR LATCH REPEAT REPAIR,20S30/20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU",1FADP3K24FL363718,yes
,,,,,,,1ZVBP8CF1C5228032,No
Incomplete,FUEL TANK DEFORMATION,18S32/18V735,2018-10-22,"ON YOUR VEHICLE, THE PCM SOFTWARE MAY NOT ADEQUATELY DETECT A STUCK-OPEN CANISTER PURGE VALVE (CPV) WITHIN THE FUEL VAPOR SYSTEM. IF THE CPV MALFUNCTIONS AND STICKS OPEN, IT CAN LEAD TO EXCESSIVE VACUUM IN THE FUEL VAPOR SYSTEM, POTENTIALLY DEFORMING THE PLASTIC FUEL TANK. THIS CAN CAUSE THE FOLLOWING SYMPTOMS: ILLUMINATED MALFUNCTION INDICATOR LAMP (MIL) WITH CERTAIN DIAGNOSTIC TROUBLE CODES (DTCS) INACCURATE OR ERRATIC FUEL GAUGE INDICATION INACCURATE DISTANCE TO EMPTY (DTE) ENGINE STALL AND/OR OTHER DRIVABILITY CONCERNS RELATED TO STUCK OPEN CPV","THIS MAY RESULT IN AN ENGINE STALL WHILE DRIVING WITHOUT WARNING OR WITHOUT THE ABILITY TO RESTART, AND CAN INCREASE THE RISK OF A CRASH.","PARTS AND SOFTWARE ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO UPDATE YOUR VEHICLE S PCM SOFTWARE, CHECK FOR DTCS OR OTHER EVIDENCE OF A LEAKING CPV, AND PERFORM ANY ADDITIONAL REQUIRED REPAIRS AS REQUIRED, FREE OF CHARGE (PARTS AND LABOR).IF YOU INSTALLED A FORD PERFORMANCE CALIBRATION ON YOUR 2013-2018 FOCUS ST, YOU MUST STILL HAVE THIS SAFETY RECALL PERFORMED. YOU MAY CONTACT FORD PERFORMANCE TO OBTAIN AN UPDATED FORD PERFORMANCE CALIBRATION FOR YOUR VEHICLE AFTER THIS RECALL HAS BEEN COMPLETED.CONTACT THE FORD PERFORMANCE TECHLINE BY CALLING 800-367-3788 OR ONLINE HTTPS://PERFORMANCEPARTS.FORD.COM/CONTACT-US",1FAHP3N2XCL267875,yes
Incomplete,CLOCKSPRING TO DRIVER SIDE FRONTAL AIR BAG WIRE HARNESS REPLACEMENT,11S18/11V107000,2011-02-23,"FORD IS RECALLING CERTAIN MODEL YEAR 2004-2006 F-150 PICK UP TRUCKS AS WELL AS CERTAIN MODEL YEAR 2006 LINCOLN MARK LT VEHICLES. IF THE CLOCKSPRING JUMPER WIRE COMES IN CONTACT WITH THE DRIVER SIDE FRONTAL AIR BAG LOWER HORN PLATE, THE WIRE INSULATION MAY BECOME CHAFED, CREATING A POTENTIAL FOR A SHORT CIRCUIT.  IF THIS OCCURS THE AIR BAG WARNING LAMP MAY ILLUMINATE INDICATING THAT SERVICE IS REQUIRED.",THE DRIVER SIDE FRONTAL AIR BAG COULD INADVERTENTLY DEPLOY INCREASING THE RISK OF INJURY OR LOSS OF VEHICLE CONTROL IF OCCURRING WHILE IN MOTION.,"FORD WILL NOTIFY OWNERS AND INSTRUCT THEM TO TAKE THEIR VEHICLES TO A FORD OR LINCOLN/MERCURY DEALER TO HAVE A NEW CLOCKSPRING JUMPER WIRE INSTALLED THAT INCORPORATES A PROTECTIVE MESH COVER.  REPAIRS WILL BE PERFORMED FREE OF CHARGE.  THIS SAFETY RECALL BEGAN ON SOME VEHICLES IN MARCH 2011.  THE RECALL CAMPAIGN ON THE EXPANDED POPULATION IS EXPECTED TO BEGIN ON OR ABOUT MAY 9, 2011.   OWNERS MAY CONTACT THE FORD MOTOR COMPANY CUSTOMER RELATIONSHIP CENTER AT 1-866-436-7332.",1ftrx12wx5nb54378,yes
,,,,,,,1FMCU9GD5JUC99800,No
,,,,,,,1FMPU18L83LA04397,No
Incomplete,LUGGAGE COMPARTMENT LID WIRING INSPECTION AND REAR VIEW CAMERA IMPROPER FUNCTION,22S06/22V082,2022-02-16,"ON YOUR VEHICLE, THE REAR VIEW CAMERA COULD INTERMITTENTLY DISPLAY A BLANK OR DISTORTED IMAGE.",".A REAR VIEW CAMERA THAT INTERMITTENTLY DISPLAYS A BLANK OR DISTORTED IMAGE MAY REDUCE THE DRIVERS VIEW OF WHAT IS BEHIND THE VEHICLE, INCREASING THE RISK OF A CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE FOR ALL MY2016-2017 AND A LIMITED NUMBER OF MY2015 2015MY OWNERS WILL RECEIVE A PARTS AVAILABLE OWNER LETTER ADVISING THEM TO SCHEDULE A SERVICE APPOINTMENT. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO INSPECT AND REPAIR THE LUGGAGE COMPARTMENT LID WIRING HARNESS AS NECESSARY FREE OF CHARGE PARTS AND LABOR.,1fa6p8thxg5221484,yes
Incomplete,TRANSMISSION SHIFTER CABLE BUSHING,22S43/#22V413,2022-06-10,"ON YOUR VEHICLE, IT MAY BE POSSIBLE THE TRANSMISSION SHIFTER CABLE BUSHING IS DAMAGED OR MISSING.","A DAMAGED OR MISSING BUSHING COULD PREVENT THE SHIFTER FROM MOVING THE TRANSMISSION INTO THE INTENDED GEAR POSITION AND CAUSE THE VEHICLE TO MOVE IN AN UNEXPECTED DIRECTION.  THE TRANSMISSION MAY NOT BE IN THE PARK POSITION, EVEN THOUGH THE SHIFTER POSITION INDICATES THAT THE VEHICLE WAS SHIFTED TO PARK. EXITING A VEHICLE WITHOUT THE TRANSMISSION IN THE PARK POSITION AND WITHOUT THE APPLICATION OF THE PARKING BRAKE MAY ALLOW THE VEHICLE TO ROLL, INCREASING THE RISK OF INJURY OR CRASH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO REPLACE THE SHIFTER CABLE BUSHING AND PROTECTIVE CAP FREE OF CHARGE PARTS AND LABOR.,1FMCU9J92EUC68045,yes
,,,,,,,1FTEW1EPXJKE34562,No
,,,,,,,1FTRX17232NA10236,No
,,,,,,,1fmhk8d81bga92270,No
,,,,,,,1ZVHT82H685155756,No
